1,adzuki beans,"Adzuki beans requires loose, well-draining soil, lots of sunshine, and consistent, deep watering. The plants can take between 90 and 120 days to harvest. Beans can be harvested green or when dried.Adzuki Bean grows as an annual vine that requires trellising to support its growth and make the pods easier to harvest.Adzuki beans which are rich in nutrients, such as fiber, protein and manganese are linked to several health benefits, including weight loss, improved digestion and a lower risk of type 2 diabetes and heart disease"
2,apple,"The best placement for a single tree or a grove of apple trees is in full sun, in well-drained soil, away from other trees and outside of any low-lying area that could form a frost pocket where cold air settles. Good soil drainage is necessary to keep an apple tree's roots healthy, and healthy roots are the foundation of a healthy tree. Light is vital to fruit production and fruit quality, and also helps keep fungal issues from advancing. For your growing success, we do not recommend planting apple trees in rocky or heavy, pure-clay soils. If you can't plant elsewhere, you can try amending the soil of your planting site prior to planting your apple trees. Apple trees can be very adaptable and they respond well to soil additives like compost or fertilizers, so they can get along well even where the soil is nutritionally poor. Eating apples is linked to a lower risk of many chronic conditions, including diabetes, heart disease, and cancer."
3,banana,"Banana trees will grow happily in a wide range of garden soils (sand, clay etc.) but will perform best in a deep, well-drained, organically amended soil as bananas are very hungry and very thirsty plants. Banana trees (even the cold tolerant ones) prefer warm humid temperatures for maximum growth and should be protected from high winds by planting them in a site protected by a wind break such as a building or a hedge. Banana trees need between one to two inches of water weekly and frequent soil checks. The soil must stay evenly moist, so regular watering is required. Plan to use a balanced fertilizer once per month. Organic bananas are rich in potassium, a mineral that plays an important role in heart health."
4,blackgram,"Generally Blackgram is grown in Kharif /rainy and summer season. But, it is best grown in hot and humid conditions with an ideal temperature between 25-35C. The main criteria to decide the time of planting is to tally the maturity crop period with the dry weather for higher yield and good quality seeds. The crop must have a neutral pH and it is best cultivated in Loam or clay loam soil. Alkaline and saline soils should be avoided. Addition of higher organic matter in the soil will help in powerful seed production. The soil must have a good water holding capacity and it should be well drained. Seed treating fungicide should be used to reduce infection which is caused by fungal pathogens in the soil. A regular intake of blackgram prevents formation of kidney stones."
5,cactus,"Cactus  will grow best in lots of light, good drainage, high temperatures and low moisture. cacti plants will do well when positioned in places with good light and not necessarily direct sunlight."
6,chickpea,"A cool-season crop, chickpeas grow best when temperatures hover between 70 and 80 degrees during the day, and stay above 65 degrees at night. The plant thrives in loose soil with good drainage chickpeas can't tolerate waterlogged soil. Chickpea plants aren't fussy about nutrients; soil amended with a bit of natural compost is all they need. Avoid planting chickpeas where green manures have just grown or in soil high in nitrogen; this will result in green leafy growth, not seed production. The fiber, potassium, B vitamins, iron, magnesium, and selenium in chickpeas all support heart health."
7,coconut,"Coconuts subsist in sandy soil or rocky ground that is loamy. Well-draining soil is a must. They can subsist in poor soil, but they won't produce as many delicious coconuts in those conditions. They have a wide pH range for growing, from acidic (5) to slightly alkaline (8). If you're planting a whole coconut palm in a container, give it a good palm soil mix. Coconut trees need pottasium, phosphorus, nitrogen for healthy growth. Coconuts are especially high in manganese, which is essential for bone health and the metabolism of carbohydrates, proteins, and cholesterol."
8,coffee,"Coffee is a tropical plant which is also grown in semi-tropical climate. The coffee tree requires heat, humidity and abundant rainfall. Coffee requires an average temperature between 20-27C.Growth is most rapid during hot rainy season and during cool dry season berries ripen and ready for picking. Bright sunshine and warm weather are necessary for the harvesting. The soil should stay evenly moist but not waterlogged. Never allow the soil to dry out completely. Feed with a weak liquid fertilizer throughout the growing season every couple of weeks. Low to moderate doses of caffeine (50-300 mg) may cause increased alertness, energy, and ability to concentrate."
9,cotton,"Cotton seed germination is favored by high soil oxygen concentration, and adequate moisture. Cotton is a fairly hot weather plant. Never plant so early that the temperature might drop below 60 degrees or so. An average temperature of 90 degrees is good for cotton growth. Part of why cotton takes up so many nutrients from the soil is its extensive root system. In order for the roots to develop enough to obtain those nutrients, lots of moisture is needed, especially early on. Cotton has a tendency to wear out the natural nutrients in soil quickly. In order to maximize your growing conditions, cotton will require plenty of fertilizer."
10,grapes,"Grapes will grow and produce well on a wide range of soil types, but good drainage is very important. Select a location with full sun to allow grapes to fully ripen. Grapes require a minimum of 155 to 160 frost-free growing days to have a bountiful harvest. It is recommended to soil test your preferred site location several weeks prior to planting and apply the appropriate fertilizer amendments grape vines require high potassium levels. The site needs to be weed-free and have a pH of 6.5. Vines grow best in deep, well-drained soils, as most root systems are at least 36 inches deep. Grapes are a good source of potassium, a mineral that helps balance fluids in your body."
